"","phenotype","description","group"
"908","526.42","Arthralgia/ankylosis of temporomandibular joint","digestive"
"909","525","Other diseases of the teeth and supporting structures","digestive"
"910","525.1","Loss of teeth or edentulism","digestive"
"911","525.2","Atrophy of edentulous alveolar ridge","digestive"
"912","526","Diseases of the jaws","digestive"
"913","526.1","Cysts of the jaws","digestive"
"914","526.5","Inflammatory conditions of jaw","digestive"
"915","526.9","Jaw disease NOS","digestive"
"916","526.8","Exostosis of jaw","digestive"
"917","527","Diseases of the salivary glands","digestive"
"918","527.1","Hypertrophy of salivary gland","digestive"
"919","527.2","Sialoadenitis","digestive"
"920","528.3","Cellulitis and abscess of oral soft tissues","digestive"
"921","528.7","Sialolithiasis","digestive"
"922","528.41","Cyst of the salivary gland","digestive"
"923","527.7","Disturbance of salivary secretion","digestive"
"924","527.8","Other specified diseases of the salivary glands","digestive"
"925","528","Diseases of the oral soft tissues, excluding lesions specific for gingiva and tongue","digestive"
"926","528.11","Stomatitis and mucositis (ulcerative)","digestive"
"927","528.1","Stomatitis and mucositis","digestive"
"928","963.1","Antineoplastic and immunosuppressive drugs causing adverse effects","injuries & poisonings"
"929","979","Adverse drug events and drug allergies","injuries & poisonings"
